epoch,loss,weight_stage1_L1_acc,weight_stage1_L1_loss,weight_stage1_L2_acc,weight_stage1_L2_loss,weight_stage2_L1_acc,weight_stage2_L1_loss,weight_stage2_L2_acc,weight_stage2_L2_loss,weight_stage3_L1_acc,weight_stage3_L1_loss,weight_stage3_L2_acc,weight_stage3_L2_loss,weight_stage4_L1_acc,weight_stage4_L1_loss,weight_stage4_L2_acc,weight_stage4_L2_loss,weight_stage5_L1_acc,weight_stage5_L1_loss,weight_stage5_L2_acc,weight_stage5_L2_loss,weight_stage6_L1_acc,weight_stage6_L1_loss,weight_stage6_L2_acc,weight_stage6_L2_loss
0,889.98912998,0.0501198989037,108.49692282,0.966126033018,44.9217395928,0.0631577835162,102.922317396,0.96642463882,43.7502095889,0.0630830631322,102.956034927,0.966410026243,43.7578815037,0.0630354897657,102.948305232,0.966438494313,43.678314749,0.0649764877298,102.981345917,0.966410502159,43.7026472899,0.0610915519255,103.025158987,0.966402190684,44.0762001073
1,718.752879777,0.0614374589642,96.0723602852,0.967339838972,36.9355603421,0.0679395359237,83.9002933071,0.968707699052,32.9149946431,0.073782605739,83.6924349728,0.968724810107,32.8021234384,0.0732827610291,83.6357722169,0.968744542781,32.8067854934,0.0717537480931,83.6785395445,0.968712542431,32.8428366099,0.0687619541813,83.5585091405,0.968738190233,32.7407546162
2,663.943715779,0.0682935800708,90.442029051,0.968450555944,34.1828640461,0.0863873286364,77.9189673977,0.970120849288,30.2157914252,0.0885417160323,77.2805807879,0.970183412166,29.9671005123,0.0836629747817,77.1413626975,0.970196200292,29.903820411,0.0864220410256,77.0719211895,0.970206569483,29.8598339263,0.0686750639627,76.6029561535,0.970244654573,29.7282547562
3,636.485528436,0.067159138141,86.9185109527,0.968997669279,32.8333057778,0.0853487726329,75.0746172107,0.970739268728,29.0046530405,0.0899010406762,74.1252969944,0.970871259718,28.6260887388,0.0825773570228,73.8430839465,0.970914439118,28.5216029808,0.0869396537648,73.650325732,0.970950169025,28.4520846198,0.0686090404189,73.0423232762,0.970990327901,28.3188311145
4,615.2299644,0.0736686673938,84.1124884277,0.969527160312,31.7812749214,0.0951008628845,72.8783734552,0.971278788597,28.0800857009,0.0919543856071,71.6996445903,0.971494567839,27.5841283276,0.0834837174686,71.3336013664,0.971577205785,27.4154763012,0.091456875386,71.0320034401,0.971595079812,27.3320931081,0.0758490423042,70.3333134387,0.97166133599,27.1444808817
5,602.143706028,0.062645922608,82.2429459959,0.969960697274,30.9426978986,0.0849440384381,71.7144789173,0.97167770936,27.4617478501,0.0871778996877,70.3344325686,0.971939200706,26.8743244535,0.0783806237898,69.8453156659,0.97202864164,26.6859818517,0.0858950490062,69.4527308248,0.972071955902,26.568425712,0.0730581451866,68.7145434044,0.972125712457,26.3795138031
6,588.128179715,0.0738959565178,80.2391564702,0.970273032595,30.2538316171,0.0941956268911,70.2130290762,0.971955979294,26.9166767297,0.0981402392144,68.6504544655,0.972258915952,26.2413150605,0.085705825323,68.0708309202,0.972346011439,26.0491903276,0.0908704822677,67.6579010063,0.972387537607,25.9212379844,0.0863635209992,66.8689802616,0.97245154607,25.7144565263
7,579.831655383,574.757378838,0.0365104256551,77.3885471171,0.970062206866,29.9175154585,0.0427192530002,68.022871068,0.971689599481,26.7374451991,0.0435785069977,66.6041352966,0.971926974302,26.1119487358,0.0437431974675,66.0856888944,0.972062124447,25.9289420048,0.0462733428558,65.7525391795,0.972144291708,25.7434340535,0.0446495315074,64.8648904454,0.972266558219,25.7029359521,0.0791738424689,79.0766975808,0.970543952173,29.7386860571,0.0987791496964,69.4042908755,0.972194996821,26.5083175107,0.0961562585667,67.714722874,0.972489810008,25.823873949,0.0803342741889,67.1066512267,0.972604736547,25.6003603086,0.0867640693782,66.62320161,0.972641580616,25.4749144597,0.0860932750305,65.797683071,0.972724756852,25.2492427177
8,570.840875214,573.093847679,0.0347015167107,77.9203776013,0.971080427594,29.3646568566,0.0410070099487,68.7536315051,0.972557804575,26.0693302949,0.0421374663076,66.8210686192,0.972984568865,25.389111201,0.0472869045722,66.5989125859,0.973100205714,25.2392211647,0.0436361488025,65.9619988528,0.973277424547,24.9256601153,0.758886321024,65.0936718999,0.973348851457,24.7025151867,0.0724203954666,77.8233798394,0.97087495346,29.1800662026,0.0832698341416,68.392340138,0.972452418243,26.0935003,0.0952423236652,66.7016113428,0.972795443869,25.3693262687,0.0770970445713,66.0606864244,0.972896845798,25.1395619678,0.0838421696362,65.5579450324,0.972950269376,24.9760217326,0.0783565993176,64.7161814604,0.97303731971,24.7545321124
0,nan,nan,0.938426430478,nan,0.00911131645438,nan,0.93842643093,nan,0.00911131649495,nan,0.938426427543,nan,0.00911131645703,nan,0.93842642822,nan,0.00911131644865,nan,0.938426428446,nan,0.00911131647423,nan,0.938426427769,nan,0.965683771128,53.0385652455,0.935521736461,nan,0.0110747335436,nan,0.935341551669,nan,0.0109199622302,nan,0.935519040534,nan,0.0110795051971,nan,0.935700699106,nan,0.011075146869,nan,0.935519903798,nan,0.0110866044154,nan,0.935875106139,nan,0.951467604932,9651355.00351
