epoch,loss,val_loss,val_weight_stage1_L1_acc,val_weight_stage1_L1_loss,val_weight_stage1_L2_acc,val_weight_stage1_L2_loss,val_weight_stage2_L1_acc,val_weight_stage2_L1_loss,val_weight_stage2_L2_acc,val_weight_stage2_L2_loss,val_weight_stage3_L1_acc,val_weight_stage3_L1_loss,val_weight_stage3_L2_acc,val_weight_stage3_L2_loss,val_weight_stage4_L1_acc,val_weight_stage4_L1_loss,val_weight_stage4_L2_acc,val_weight_stage4_L2_loss,val_weight_stage5_L1_acc,val_weight_stage5_L1_loss,val_weight_stage5_L2_acc,val_weight_stage5_L2_loss,val_weight_stage6_L1_acc,val_weight_stage6_L1_loss,val_weight_stage6_L2_acc,val_weight_stage6_L2_loss,weight_stage1_L1_acc,weight_stage1_L1_loss,weight_stage1_L2_acc,weight_stage1_L2_loss,weight_stage2_L1_acc,weight_stage2_L1_loss,weight_stage2_L2_acc,weight_stage2_L2_loss,weight_stage3_L1_acc,weight_stage3_L1_loss,weight_stage3_L2_acc,weight_stage3_L2_loss,weight_stage4_L1_acc,weight_stage4_L1_loss,weight_stage4_L2_acc,weight_stage4_L2_loss,weight_stage5_L1_acc,weight_stage5_L1_loss,weight_stage5_L2_acc,weight_stage5_L2_loss,weight_stage6_L1_acc,weight_stage6_L1_loss,weight_stage6_L2_acc,weight_stage6_L2_loss
0,830.974147549,726.92230109,0.0267836684643,96.362018643,0.966525480151,38.7653456529,0.0348363120716,83.6619802966,0.967749382285,34.1697273543,0.0348975339792,83.8491291855,0.967732738365,34.0722871477,0.0351110945216,83.5972630038,0.96767778085,34.1668082873,0.0349383488312,83.8081179388,0.967729871923,33.9674256896,0.0351082303025,83.5308481419,0.967808817146,33.8998054844,0.0540768653459,104.048169339,0.966414215374,42.3628853306,0.0671583425065,95.8537297326,0.966791189745,41.6942995495,0.0652446544052,95.8169264691,0.967012010682,39.6653412023,0.0643921672953,95.8535202746,0.96692410712,40.845854499,0.0647725044726,95.8331193628,0.966945592434,39.7844378451,0.0653514469808,95.9627507288,0.966931978258,40.4118362816
1,688.791342347,660.637480302,0.0287239717842,89.2903351784,0.969185592776,33.7456323523,0.0372705075283,77.9760934367,0.970620367789,29.9934105584,0.0379976513937,77.2439163237,0.970738687073,29.526828177,0.0633282853347,77.494142619,0.970884583439,29.297522888,0.0391767988772,76.9164305456,0.970783089146,29.4051590327,0.0382316193021,76.986653458,0.970891568471,29.2036721417,0.0637679487851,92.875366179,0.967860533532,35.4708586684,0.0767510094855,80.5613242267,0.969336965778,31.5273347687,0.0780508176419,80.2574064208,0.969492895972,31.1452782015,0.0751145214133,80.2512602131,0.96949625718,31.0950753311,0.0779368977947,80.2115350032,0.969467079318,31.1503939004,0.0737744105536,79.9241411471,0.969501747063,31.0047758327
2,646.115097612,639.847426212,0.031258771637,86.4794994846,0.96905903315,32.7548520601,0.038334908874,75.8365723581,0.970730279883,28.9230298057,0.0388853685599,74.8822373043,0.970994141066,28.4929289926,0.0392693476751,74.5592446761,0.971071296795,28.3251229922,0.0391053735758,74.7294861909,0.970986266254,28.44978671,0.0396330985629,74.2046221386,0.971095642357,28.1774423664,0.0596665133191,88.1212525985,0.968805569867,33.3223950901,0.0885088634189,76.0804098114,0.970534920454,29.4046152626,0.0929431597118,75.3652358214,0.970711860656,28.9780547854,0.0843445144303,75.1984926112,0.970765589364,28.8199288175,0.0843999605317,75.0298388406,0.970761321586,28.8556487768,0.0706682822372,74.4438869754,0.970795622104,28.6963542388
3,621.227528452,606.599549033,0.0320705878972,83.0473867041,0.96994477533,31.1801504691,0.0391871814941,72.3559971434,0.972023994634,27.3154652552,0.0398885475359,71.0725102136,0.972322044725,26.7567697691,0.0401334349334,70.5898118164,0.972387923662,26.5652748021,0.0403502177038,70.397441734,0.972363398382,26.5547488169,0.0412080396305,69.8417508674,0.972421931724,26.4378678257,0.0668614362173,84.9226751746,0.96929908761,32.0981085734,0.0954205423415,73.5476142824,0.97105990019,28.3343540244,0.0946006214975,72.495700743,0.971300491534,27.8198374919,0.0926235685429,72.1289017582,0.971403420459,27.5975101897,0.0901287886167,71.8465266187,0.971391027861,27.605624935,0.0785764339581,71.1497881705,0.971455549498,27.4187798292
4,601.4255232,592.542954069,0.0330977546206,81.3450084022,0.970659388963,30.1560800726,0.0403290942706,71.0957064484,0.972528986181,26.8411643108,0.041132675893,69.7623287403,0.972837958146,25.8758132024,0.0756587610213,69.1926445817,0.972950914367,25.6149400545,0.0424251375988,68.8342820081,0.973004087128,25.4822210724,0.0445011310971,68.2012736003,0.973132257886,25.2317701939,0.0708590506766,82.3636388646,0.96994594844,30.9953150728,0.0973012605062,71.5575842392,0.971720313613,27.3508823911,0.0969406656399,70.3119815747,0.972022675611,26.7457184207,0.0961252743576,69.8403993869,0.972103804174,26.5297836183,0.0931370192544,69.4786028618,0.972113796356,26.5054098123,0.079160192714,68.7501642144,0.972186469866,26.2946247024
5,587.884101666,581.779130878,0.0338399353098,79.4338262587,0.971030483643,29.2141029979,0.0406633081888,69.489174496,0.97276707558,25.9789503199,0.04114645958,68.3851604028,0.973024126029,25.5593855706,0.0418173939088,67.9579565453,0.973128670544,25.3990847667,0.0417042588251,67.683354739,0.973157496615,25.3694231149,0.0425321863061,66.8503309163,0.973247355358,25.1345847737,0.0674494009695,80.4164296252,0.970307208236,30.2780803699,0.103830823096,70.1667650179,0.972040027805,26.8317280601,0.10152738751,68.7424437209,0.972356498071,26.1618354666,0.0970268166208,68.1767696109,0.972456588596,25.9275309192,0.0936949158406,67.7018398079,0.972476753565,25.8586747474,0.0821415724445,66.8982169098,0.972565943104,25.6059776617
6,584.155733488,579.838979894,0.0482426455287,78.3279554627,0.970447981448,29.9775150617,0.0412257618348,69.4220910217,0.972191373959,26.8071856065,0.0421829354371,67.4717402603,0.972490856368,26.1609353802,0.0426207966468,67.1276164922,0.972649099023,25.6520824432,0.0430205289846,66.5376132185,0.972761516996,25.5552692919,0.0434578534879,65.7342240449,0.972707819532,25.3283823042,0.0737316322698,79.6880369337,0.970343899242,30.0995984044,0.103649523557,69.857623758,0.972010929348,26.7846517811,0.0978557596001,68.2304085537,0.972360246454,26.0645835263,0.0967759189284,67.6160669089,0.972473175325,25.7827824047,0.0891658051928,67.0806273732,0.972506920519,25.7104067214,0.0791534075064,66.2455645262,0.972597763064,25.4546917743
7,569.336359445,578.536686753,0.547793827161,78.435691978,0.971491979153,28.9015845241,0.041595599226,69.287311554,0.972890047413,26.112734661,0.0422670703847,68.2856167157,0.973403277948,25.1243375757,0.0427273083267,67.5738866835,0.973291752691,25.6090533228,0.0428587028926,67.3147120476,0.973357090444,25.1485137289,0.043816770949,65.858773665,0.973475061809,24.7839235284,0.0701864068087,77.8227923731,0.970828333198,29.2261702212,0.0950284141751,68.2019158106,0.972511531158,25.9721799313,0.0893267957902,66.5319380505,0.972859336546,25.2636564835,0.0947426212695,65.9127780898,0.97297023708,24.9992552892,0.089525428254,65.3599302154,0.973014960522,24.9261304395,0.0841642918678,64.5448709344,0.973101320399,24.6542871912
8,564.634086892,571.313152313,0.0358534543069,76.9941542943,0.970773061117,29.2316168222,0.0420461701878,68.0106072137,0.972553863444,26.59272851,0.0428388324199,66.3135979681,0.9728399251,25.9268738898,0.0435512972728,65.6026497899,0.973043468414,25.3631729899,0.0441914415693,65.2563919588,0.973096447461,25.7680119023,0.0440682818704,64.5108422583,0.973169668154,25.2770021973,0.07194584536,77.075508278,0.970999773702,28.9315731526,0.102214041108,67.812385645,0.972632252268,25.764728687,0.0879883747783,66.0179195041,0.97298109188,25.0365018917,0.0924175658504,65.3248959814,0.973113056359,24.7407547584,0.0829572600663,64.7391879583,0.973154519148,24.6464658952,0.0755776545477,63.8861258464,0.973256917366,24.3755536133
9,557.183818863,554.036785819,0.0610818732671,74.9397434755,0.971936641317,27.7388474797,0.0422253608351,66.8754564777,0.973334712738,25.0911980723,0.0432093857054,65.1820072839,0.973647808938,24.2558942202,0.0437909934007,64.6126820969,0.973783315583,24.0873237884,0.0439422576985,63.8194227363,0.973897167227,23.9470118862,0.0500469005624,63.0222748988,0.973960000683,23.6552294276,0.0708379590925,76.0331686498,0.971271250248,28.4504728083,0.0981163631947,67.007568486,0.972869418741,25.3482061431,0.0890243615175,65.209726697,0.9732190851,24.621431829,0.0920054178521,64.5027213306,0.973344004059,24.3267253624,0.0867940558627,63.8769212506,0.973399008946,24.2131308534,0.0751042103979,63.0186679696,0.973491757751,23.9356758483
